<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
SBER,60,20221124,000000,136.7000000,136.8800000,136.5600000,136.5900000
SBER,60,20221124,110000,137.0000000,137.7800000,136.1200000,137.6000000
SBER,60,20221124,120000,137.6000000,138.1600000,137.4100000,137.8300000
SBER,60,20221124,130000,137.8200000,138.4100000,137.7600000,137.7600000
SBER,60,20221124,140000,137.7600000,138.2200000,137.5200000,137.7800000
SBER,60,20221124,150000,137.7700000,138.1000000,137.2000000,137.5300000
SBER,60,20221124,160000,137.5200000,137.9800000,137.4700000,137.8500000
SBER,60,20221124,170000,137.8500000,137.9000000,137.2700000,137.4000000
SBER,60,20221124,180000,137.4000000,137.7000000,136.8000000,136.8800000
SBER,60,20221124,190000,136.8800000,137.0500000,136.5900000,136.8200000
SBER,60,20221124,200000,136.8200000,137.0800000,136.7100000,136.9400000
SBER,60,20221124,210000,136.9500000,137.0100000,136.8200000,136.9600000
SBER,60,20221124,220000,136.9700000,137.0000000,136.5600000,136.7000000
SBER,60,20221124,230000,136.7100000,136.8200000,136.3100000,136.6100000
SBER,60,20221125,000000,136.6100000,136.7800000,136.4300000,136.6100000
SBER,60,20221125,110000,137.2000000,137.2400000,135.6100000,135.7400000
SBER,60,20221125,120000,135.7300000,136.2700000,135.6900000,135.8800000
SBER,60,20221125,130000,135.8900000,135.9900000,135.4100000,135.8000000
SBER,60,20221125,140000,135.8000000,136.2300000,135.7700000,136.0000000
SBER,60,20221125,150000,136.0100000,136.4800000,135.6500000,136.3600000
SBER,60,20221125,160000,136.3600000,136.8000000,136.2400000,136.3200000
SBER,60,20221125,170000,136.3200000,136.3500000,135.9200000,136.2600000
SBER,60,20221125,180000,136.2500000,136.2500000,135.8000000,136.2000000
SBER,60,20221125,190000,136.2000000,136.5000000,136.1500000,136.3300000
SBER,60,20221125,200000,136.2900000,136.4500000,136.1000000,136.4400000
SBER,60,20221125,210000,136.4500000,136.4700000,136.2500000,136.2600000
SBER,60,20221125,220000,136.2700000,136.3900000,136.2200000,136.2500000
SBER,60,20221125,230000,136.2500000,136.4700000,136.0600000,136.4600000
SBER,60,20221126,000000,136.4600000,136.6200000,136.3700000,136.5300000
SBER,60,20221128,110000,135.0100000,135.8700000,134.5700000,135.7100000
SBER,60,20221128,120000,135.6600000,136.2000000,135.2200000,135.7100000
SBER,60,20221128,130000,135.7100000,135.8300000,134.9300000,134.9700000
SBER,60,20221128,140000,134.9700000,135.2400000,134.3500000,134.5400000
SBER,60,20221128,150000,134.5400000,135.2000000,134.1000000,134.8800000
SBER,60,20221128,160000,134.8500000,135.1900000,134.7200000,134.9000000
SBER,60,20221128,170000,134.9200000,135.5000000,134.6500000,135.1300000
SBER,60,20221128,180000,135.1500000,135.5100000,134.9000000,135.5000000
SBER,60,20221128,190000,135.5000000,135.9600000,135.3400000,135.7700000
SBER,60,20221128,200000,135.7000000,135.7600000,135.4000000,135.6600000
SBER,60,20221128,210000,135.6800000,135.9700000,135.6500000,135.6900000
SBER,60,20221128,220000,135.6900000,135.7900000,135.4000000,135.4600000
SBER,60,20221128,230000,135.4600000,135.5800000,135.2500000,135.5300000
SBER,60,20221129,000000,135.5400000,135.6100000,135.3800000,135.5300000
SBER,60,20221129,110000,136.2900000,136.6000000,135.8800000,135.9900000
SBER,60,20221129,120000,135.9800000,137.0900000,135.9500000,136.6900000
SBER,60,20221129,130000,136.6900000,136.9200000,136.5000000,136.6200000
SBER,60,20221129,140000,136.6000000,137.2000000,136.6000000,136.6300000
SBER,60,20221129,150000,136.6400000,136.8500000,136.3100000,136.4700000
SBER,60,20221129,160000,136.4800000,136.7500000,136.2000000,136.5700000
SBER,60,20221129,170000,136.5700000,136.8000000,136.4200000,136.6700000
SBER,60,20221129,180000,136.6600000,136.8300000,136.4300000,136.7400000
SBER,60,20221129,190000,136.7400000,136.9900000,136.5600000,136.8500000
